user_id,word_id,count
0,0,1
0,1,2
0,2,3
0,3,1
1,0,1
1,1,1
1,4,2
1,2,1
1,5,3
1,3,2
1,6,2
2,0,1
2,1,2
2,4,2
2,2,1
2,5,2
2,3,1
2,6,1
2,7,3
3,0,1
3,1,2
3,8,1
3,2,3
3,3,1
4,0,1
4,9,1
4,1,1
4,8,1
4,4,2
4,2,1
4,5,3
4,3,2
4,6,1
5,0,1
5,1,2
5,4,2
5,2,1
5,5,2
5,3,1
5,6,1
5,7,3
6,1,2
6,10,3
6,4,2
6,2,1
6,5,1
6,3,1
6,11,1
6,6,1
6,12,2
7,1,1
7,10,2
7,8,1
7,4,2
7,3,3
7,6,2
7,12,2
8,9,1
8,10,2
8,13,1
8,11,3
8,6,1
8,12,2
8,14,2
9,9,2
9,10,2
9,13,1
9,11,2
9,12,2
9,14,2
10,10,2
10,8,2
10,13,1
10,11,1
10,6,1
10,15,2
10,12,1
10,14,2
11,9,2
11,10,2
11,13,6
11,11,4
11,6,1
11,12,2
11,14,2
12,0,1
12,1,2
12,4,2
12,2,1
12,5,1
12,3,1
12,6,1
12,7,3
13,0,1
13,1,2
13,8,1
13,2,3
13,3,1
13,16,1
14,0,1
14,9,1
14,1,1
14,8,1
14,4,2
14,2,1
14,5,2
14,3,3
14,6,1
14,16,1
15,0,1
15,1,2
15,4,2
15,2,1
15,5,2
15,3,1
15,6,1
15,7,3
16,0,1
16,1,2
16,10,2
16,4,2
16,2,1
16,5,1
16,3,1
16,11,1
16,6,1
16,16,1
16,12,2
17,1,1
17,10,2
17,4,2
17,3,3
17,6,1
17,12,2
18,9,1
18,10,2
18,13,1
18,11,2
18,6,1
18,12,2
18,14,3
19,9,2
19,10,2
19,13,1
19,11,2
19,16,1
19,12,2
19,14,2
20,9,1
20,10,2
20,13,5
20,11,2
20,6,1
20,15,1
20,12,2
20,14,3
