user_id,word_id,count
0,0,2
0,1,1
0,2,1
0,3,1
0,4,3
0,5,1
0,6,1
1,7,2
1,1,2
1,8,1
1,9,1
1,10,1
1,11,1
1,12,2
1,13,1
1,14,2
2,7,2
2,9,6
2,10,4
2,11,1
2,13,2
2,14,2
2,15,2
3,0,2
3,8,1
3,2,1
3,3,1
3,16,2
3,4,1
3,17,1
3,5,1
3,11,1
3,18,3
4,0,2
4,1,1
4,8,1
4,2,1
4,3,1
4,4,3
4,5,1
4,6,1
5,0,1
5,1,1
5,8,1
5,2,1
5,3,1
5,16,2
5,4,1
5,17,2
5,5,3
5,11,1
5,6,1
5,15,1
6,0,2
6,8,1
6,2,1
6,3,1
6,16,2
6,4,1
6,17,2
6,5,1
6,11,1
6,18,3
7,0,2
7,7,2
7,8,1
7,2,1
7,3,1
7,16,2
7,4,1
7,17,1
7,5,1
7,10,1
7,11,1
7,6,1
7,13,2
8,0,1
8,7,2
8,8,2
8,3,2
8,16,2
8,5,3
8,11,1
8,13,2
9,7,2
9,9,1
9,3,1
9,10,2
9,11,1
9,13,2
9,14,3
9,15,1
10,7,2
10,8,1
10,9,1
10,10,2
10,6,1
10,13,2
10,14,2
10,15,2
11,0,1
11,8,1
11,2,1
11,3,1
11,16,2
11,4,1
11,17,3
11,5,2
11,11,2
12,7,2
12,9,5
12,10,2
12,11,1
12,12,1
12,13,2
12,14,3
12,15,1
13,0,2
13,8,1
13,2,1
13,3,1
13,16,2
13,4,1
13,17,2
13,5,1
13,11,1
13,18,3
14,0,2
14,1,1
14,2,1
14,3,1
14,4,3
14,5,1
15,0,1
15,1,1
15,8,1
15,2,1
15,3,1
15,16,2
15,4,1
15,17,3
15,5,2
15,11,1
15,15,1
16,0,2
16,8,1
16,2,1
16,3,1
16,16,2
16,4,1
16,17,2
16,5,1
16,11,1
16,18,3
17,0,2
17,7,3
17,8,1
17,3,1
17,16,2
17,4,1
17,17,1
17,5,1
17,10,1
17,11,1
17,13,2
18,0,1
18,7,2
18,1,1
18,3,1
18,16,2
18,5,3
18,11,2
18,13,2
19,7,2
19,9,1
19,3,1
19,10,3
19,11,1
19,13,2
19,14,2
19,15,1
20,7,2
20,9,1
20,3,1
20,10,2
20,13,2
20,14,2
20,15,2
